test_suite,test_name,scenario,duration,step_name,request_count,ok,failed,ok_rps,ok_min,ok_mean,ok_max,ok_50_percent,ok_75_percent,ok_95_percent,ok_99_percent,ok_std_dev,data_transfer_min_kb,data_transfer_mean_kb,data_transfer_max_kb,data_transfer_all_mb,fail_rps,fail_min,fail_mean,fail_max,fail_50_percent,fail_75_percent,fail_95_percent,fail_99_percent,fail_std_dev,fail_data_transfer_min_kb,fail_data_transfer_mean_kb,fail_data_transfer_max_kb,fail_data_transfer_all_mb
nbomber_default_test_suite_name,nbomber_default_test_name,load_test_reads,00:00:30,global information,3000,3000,0,100,9.72,23.42,142.85,19.2,26.11,47.1,84.22,13.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,load_test_writes,00:00:30,global information,1500,1500,0,50,4.26,7.87,64.93,6.75,7.64,13.11,35.74,5.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,load_test_mixed,00:00:37,global information,3349,3349,0,90.5,4.37,19.21,124.97,17.28,22.22,40.38,61.5,11.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
