test_suite,test_name,scenario,duration,step_name,request_count,ok,failed,ok_rps,ok_min,ok_mean,ok_max,ok_50_percent,ok_75_percent,ok_95_percent,ok_99_percent,ok_std_dev,data_transfer_min_kb,data_transfer_mean_kb,data_transfer_max_kb,data_transfer_all_mb,fail_rps,fail_min,fail_mean,fail_max,fail_50_percent,fail_75_percent,fail_95_percent,fail_99_percent,fail_std_dev,fail_data_transfer_min_kb,fail_data_transfer_mean_kb,fail_data_transfer_max_kb,fail_data_transfer_all_mb
nbomber_default_test_suite_name,nbomber_default_test_name,load_test_reads,00:00:30,global information,3000,3000,0,100,4.96,7.77,29.39,7.42,8.59,10.34,12.77,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,load_test_writes,00:00:30,global information,1500,1500,0,50,4.54,7.13,26.96,6.81,7.61,9.66,13.06,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,load_test_mixed,00:00:37,global information,3350,3350,0,90.5,4.58,7.62,26.45,7.46,8.46,10.02,11.94,1.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
