test_suite,test_name,scenario,duration,step_name,request_count,ok,failed,ok_rps,ok_min,ok_mean,ok_max,ok_50_percent,ok_75_percent,ok_95_percent,ok_99_percent,ok_std_dev,data_transfer_min_kb,data_transfer_mean_kb,data_transfer_max_kb,data_transfer_all_mb,fail_rps,fail_min,fail_mean,fail_max,fail_50_percent,fail_75_percent,fail_95_percent,fail_99_percent,fail_std_dev,fail_data_transfer_min_kb,fail_data_transfer_mean_kb,fail_data_transfer_max_kb,fail_data_transfer_all_mb
nbomber_default_test_suite_name,nbomber_default_test_name,load_test_reads,00:00:30,global information,3000,2567,433,85.6,5.96,89.94,4563.23,11.65,13.82,22.21,4222.98,567.9,0,0,0,0,14.4,7.72,1035.63,4270.72,362.24,1495.04,3321.86,4198.4,1316.05,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,load_test_writes,00:00:30,global information,1500,1276,224,42.5,4.77,55.2,4611.87,6.78,7.74,11.13,4143.1,454.64,0,0,0,0,7.5,2.18,989.31,4495.2,115.26,2789.38,3917.82,4374.53,1414.1,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,load_test_mixed,00:00:37,global information,3350,2629,721,71.1,4.34,73.83,4605.65,11.38,13.27,20.1,4169.73,498.02,0,0,0,0,19.5,2.17,1186.76,4322.93,696.32,2072.57,3278.85,4186.11,1188.99,0,0,0,0
