test_suite,test_name,scenario,duration,step_name,request_count,ok,failed,ok_rps,ok_min,ok_mean,ok_max,ok_50_percent,ok_75_percent,ok_95_percent,ok_99_percent,ok_std_dev,data_transfer_min_kb,data_transfer_mean_kb,data_transfer_max_kb,data_transfer_all_mb,fail_rps,fail_min,fail_mean,fail_max,fail_50_percent,fail_75_percent,fail_95_percent,fail_99_percent,fail_std_dev,fail_data_transfer_min_kb,fail_data_transfer_mean_kb,fail_data_transfer_max_kb,fail_data_transfer_all_mb
nbomber_default_test_suite_name,nbomber_default_test_name,load_test_reads,00:00:30,global information,3000,3000,0,100,3.71,5.9,29.19,5.64,6.28,7.93,10.46,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,load_test_writes,00:00:30,global information,1500,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,50,2.5,4,26.8,3.68,4.13,6.01,9.11,1.32,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,load_test_mixed,00:00:37,global information,3350,2671,679,72.2,3.85,5.73,29.81,5.53,6.08,7.59,8.95,1.1,0,0,0,0,18.4,2.4,3.78,12.2,3.55,3.93,5.66,6.66,0.92,0,0,0,0
