test_suite,test_name,scenario,duration,step_name,request_count,ok,failed,ok_rps,ok_min,ok_mean,ok_max,ok_50_percent,ok_75_percent,ok_95_percent,ok_99_percent,ok_std_dev,data_transfer_min_kb,data_transfer_mean_kb,data_transfer_max_kb,data_transfer_all_mb,fail_rps,fail_min,fail_mean,fail_max,fail_50_percent,fail_75_percent,fail_95_percent,fail_99_percent,fail_std_dev,fail_data_transfer_min_kb,fail_data_transfer_mean_kb,fail_data_transfer_max_kb,fail_data_transfer_all_mb
nbomber_default_test_suite_name,nbomber_default_test_name,load_test_reads,00:00:15,global information,7500,2092,5408,139.5,12.34,465.41,3996.67,271.87,349.7,2002.94,3956.74,722.27,0,0,0,0,360.5,1.24,143.5,3672.98,51.1,164.86,319.49,3414.02,396.86,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,load_test_writes,00:00:15,global information,3750,961,2789,64.1,9.03,534.29,4134.31,329.22,404.99,2164.74,3991.55,740.34,0,0,0,0,185.9,1.66,153.78,3624.14,59.65,183.17,392.96,2723.84,380.92,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,load_test_mixed,00:00:15,global information,4749,883,3866,58.9,179.03,699.43,4071.2,352.77,416.77,2686.98,3962.88,908.94,0,0,0,0,257.7,2.06,185.32,3757.69,45.92,187.26,545.28,3463.17,505.71,0,0,0,0
