test_suite,test_name,scenario,duration,step_name,request_count,ok,failed,ok_rps,ok_min,ok_mean,ok_max,ok_50_percent,ok_75_percent,ok_95_percent,ok_99_percent,ok_std_dev,data_transfer_min_kb,data_transfer_mean_kb,data_transfer_max_kb,data_transfer_all_mb,fail_rps,fail_min,fail_mean,fail_max,fail_50_percent,fail_75_percent,fail_95_percent,fail_99_percent,fail_std_dev,fail_data_transfer_min_kb,fail_data_transfer_mean_kb,fail_data_transfer_max_kb,fail_data_transfer_all_mb
nbomber_default_test_suite_name,nbomber_default_test_name,load_test_reads,00:00:30,global information,3000,3000,0,100,3.9,5.89,25.16,5.6,6.28,8.1,9.74,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,load_test_writes,00:00:30,global information,1500,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,50,3.38,5.39,20.09,5.02,5.66,7.86,10.34,1.33,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,load_test_mixed,00:00:37,global information,3350,2687,663,72.6,3.82,5.73,20.48,5.44,6.06,7.87,9.38,1.15,0,0,0,0,17.9,3.15,5.05,12.2,4.75,5.32,7.33,8.46,1.08,0,0,0,0
